Nimi_suom,Nimi_ruots,Kunta
AISAPARINKUJA,PARHÄSTGRÄDEN,Vantaa
AISAPARINKUJA,PARHÄSTGRÄDEN,Vantaa
Aisaparinkuja,Parhästgränden,Vantaa
Annefredinpuisto,Annefredsparken,Vantaa
Annefredinpuisto,Annefredsparken,Vantaa
Asematie,Stationsvägen,Vantaa
Asematie,Stationsvägen,Vantaa
ASEMATIE,STATIONSVÄGEN,Vantaa
ASEMATIE,STATIONVÄGEN,Vantaa
Avaintie,Nyckelvägen,Vantaa
Avaintie,Nyckelvägen,Vantaa
Aviabulevardi,Aviabulevarden,Vantaa
Aviabulevardi,Aviabulevarden,Vantaa
Aviakuja,Aviagränden,Vantaa
Aviakuja,Aviagränden,Vantaa
Äyriäisenkuja,Räkgränden,Vantaa
ÄYRIÄISENKUJA,RÄKGRÄNDEN,Vantaa
Backaksen kartano,Backas gård,Vantaa
Backaksen kartano,Backas herrgård,Vantaa
Beryllikuja,Beryllgränden,Vantaa
Beryllikuja,Beryllgränden,Vantaa
Esikkopolku,Gullvivsstigen,Vantaa
Esikkopolku,Gullvivsstigen,Vantaa
Esikkopuisto,Gullvivsparken,Vantaa
Esikkopuisto,Gullvivsparken,Vantaa
Fazerintie,Fazersvägen,Vantaa
Fazerintie,Fazersvägen,Vantaa
Fazerintie,Fazersvägen,Vantaa
Fazerintie,Fazersvägen,Vantaa
Hakunilantie,Håkansbölevägen,Vantaa
HAKUNILANTIE,HÅKANSBÖLEVÄGEN,Vantaa
Hakunilantie,Håkansbölevägen,Vantaa
Härkähaantie,Oxhagsvägen,Vantaa
Härkähaantie,Oxhagsvägen,Vantaa
Härkähaantie,Oxhagsvägen,Vantaa
Hukantie,Vargvägen,Vantaa
Hukantie,Vargvägen,Vantaa
Illenoja,Illebäcken,Vantaa
Illenoja,Illebäcken,Vantaa
Ilmailutie,Luftfartsvägen,Vantaa
Ilmailutie,Luftfartsvägen,Vantaa
Ilmakehä,Luftleden,Vantaa
Ilmakehä,Luftleden,Vantaa
Järventaka,Järventaka,Vantaa
Järventaka,Järventaka,Vantaa
Jokivarrentie,Jokivarsivägen,Vantaa
Jokivarrentie,0,Vantaa
Jönsaksentie,Jönsasvägen,Vantaa
Jönsaksentie,Jönsasvägen,Vantaa
Kalminoja,0,Vantaa
KALMINOJA,KALMIBÄCKEN,Vantaa
Karpinevä,Karpfenan,Vantaa
KARPINEVÄ,KARPFENAN,Vantaa
Karppipuisto,Karpparken,Vantaa
KARPPIPUISTO,KARPPARKEN,Vantaa
Karppitie,Karpvägen,Vantaa
Karppitie,Karpvägen,Vantaa
Karppitie,Karpvägen,Vantaa
Keiholehdenkuja,Pilörtsgränden,Vantaa
Keiholehdenkuja,Pilörtsgränden,Vantaa
Kiitoradankuja,Startbanegränden,Vantaa
Kiitoradankuja,Startbanegränden,Vantaa
Kiskanpuisto,Kiskaparken,Vantaa
Kiskanpuisto,Kiskaparken,Vantaa
Kiurunkierto,Sånglärksringen,Vantaa
Kiurunkierto,Sånglärksringen,Vantaa
Kivistön puistokatu,Kivistöallén,Vantaa
KIVISTÖN PUISTOKATU,KIVISTÖALLÉN,Vantaa
Kivistöntähti,Kivistös stjärna,Vantaa
KIVISTÖNTÄHTI,KIVISTÖS STJÄRNA,Vantaa
KIVISTÖNTÄHTI,KIVISTÖS STJÄRNA,Vantaa
Köyhämäentie,Fattigbackavägen,Vantaa
Köyhämäentie,Fattigbackavägen,Vantaa
Kuohukuja,Svallgränden,Vantaa
KUOHUKUJA,SVALLGRÄNDEN,Vantaa
Kuriirikuja,Kurirgränden,Vantaa
Kuriirikuja,Kurirgränden,Vantaa
Kuriirikuja,Kurirgränden,Vantaa
Kuusijärvenoja,Hanaböleträskbäcken,Vantaa
Kuusijärvenoja,Hanaböleträskbäcken,Vantaa
Kuussillanoja,Sexbrobäcken,Vantaa
Kuussillanoja,Sexbrodiken,Vantaa
Kuussillantie,Sexbrovägen,Vantaa
Kuussillantie,Sexbrovägen,Vantaa
Kvartsijuonenpuisto,Kvartsådersparken,Vantaa
KVARTSIJUONENPUISTO,KVARTSÅDERSPARKEN,Vantaa
Laajakorpi,Bredkärret,Vantaa
Laajakorpi,Bredkärret,Vantaa
Lahdentie,Lahtisvägen,Vantaa
Lahdentie,Lahtisvägen,Vantaa
Länsimäentie,Västerkullavägen,Vantaa
Länsimäentie,Västerkullavägen,Vantaa
Lehtorinne,Lehtorinne,Vantaa
Lehtorinne,Lundbrinken,Vantaa
Lentäjäntie,Pilotvägen,Vantaa
Lentäjäntie,Pilotvägen,Vantaa
Lentoasemantie,Flygstationsvägen,Vantaa
Lentoasemantie,Flygstationsvägen,Vantaa
Liesikuja,Eldstadsgränden,Vantaa
Liesikuja,Elstadsgränden,Vantaa
Liesipolku,Eldstadsstigen,Vantaa
Liesipolku,Elstadsstigen,Vantaa
Linnaistenmetsä,Linnaisskogen,Vantaa
Linnaistenmetsä,Linnaisskogen,Vantaa
LOKINPUISTO,LOKKIPARKEN,Vantaa
Lokinpuisto,Lokkiparken,Vantaa
Maakotkantie,Kungsörnsvägen,Vantaa
Maakotkantie,Kungsörnsvägen,Vantaa
Maalipolku,Målfärgsstigen,Vantaa
MAALIPOLKU,MALFARGSSTIGEN,Vantaa
Männistönpolku,Männistöstigen,Vantaa
MÄNNISTÖNPOLKU,MÄNNISTÖSTIGEN,Vantaa
Markkapolku,Markstigen,Vantaa
MARKKAPOLKU,MARKSTIGEN,Vantaa
Markkatie,Markvägen,Vantaa
MARKKATIE,MARKVÄGEN,Vantaa
Martinlaaksontie,Mårtensdalsvägen,Vantaa
Martinlaaksontie,Mårtensdalsvägen,Vantaa
Martinlaaksontie,Mårtensdalsvägen,Vantaa
Metsätie,Skogsvägen,Vantaa
Metsätie,Skogsvägen,Vantaa
Muonamiehenpolku,Statarstigen,Vantaa
MUONAMIEHENPOLKU,STATARSTIGEN,Vantaa
Murattipuisto,Murgrönsparken,Vantaa
Murattipuisto,Murgrönsparken,Vantaa
Myyrmäenraitti,Myrbackaleden,Vantaa
Myyrmäenraitti,Myrbackaleden,Vantaa
Niittytie,Ängsvägen,Vantaa
Niittytie,Ängsvägen,Vantaa
Niittytie,Ängsvägen,Vantaa
ONNENKIVENPUISTO,LYCKOSTENSPARKEN,Vantaa
ONNENKIVENPUISTO,LYCKOSTENSPARKEN,Vantaa
Onnenkivenpuisto,Lyckostensparken,Vantaa
Onnenkivenpuisto,Lyckostensparken,Vantaa
Onnenkivenrinne,Lyckostensbrinke,Vantaa
Onnenkivenrinne,Lyckostensbrinken,Vantaa
Päivänkakkarantie,Prästkragsvägen,Vantaa
Päivänkakkarantie,Prästkragsvägen,Vantaa
Pikku-Keimolan polku,Lilla Käinbystigen,Vantaa
Pikku-Keimolan Polku,Lilla Käinbystigen,Vantaa
Pohjoinen Nikinmäentie,Norra Nissbackavägen,Vantaa
POHJOINEN NIKINMÄENTIE,NORRA NISSBACKAVÄGEN,Vantaa
Punapolku,Rödstigen,Vantaa
Punapolku,Rödstigen,Vantaa
Puutarhatie,Trädgårdsvägen,Vantaa
Puutarhatie,Trädgårdsvägen,Vantaa
PYTINOJANKUJA,PYTTISBÄCKSGRÄNDEN,Vantaa
Pytinojankuja,Pyttisbäcksgränden,Vantaa
Raappavuorenpolku,Skrapbergsstigen,Vantaa
Raappavuorenpolku,Skrapbergsstigen,Vantaa
Raappavuorenrinne,Skrapbergsbrinken,Vantaa
Raappavuorenrinne,Skrapbergsbrinken,Vantaa
Ratakuja,Bangränden,Vantaa
RATAKUJA,BANGRÄNDEN,Vantaa
Ratatie,Banvägen,Vantaa
RATATIE,BANVÄGEN,Vantaa
Rivieranraitio,Rivieraspåren,Vantaa
Rivieranraitio,Rivieraspåren,Vantaa
ROBERT HUBERIN TIE,ROBERT HUBERT VÄGEN,Vantaa
ROBERT HUBERIN TIE,ROBERT HUBERT VÄGEN,Vantaa
Robert Huberin tie,Robert Hubers väg,Vantaa
Sinisafiirinpolku,Blåsafirsstigen,Vantaa
SINISAFIIRINPOLKU,BLÅSAFIRSSTIGEN,Vantaa
Sinttioja,Firrbäcken,Vantaa
Sinttioja,Firrbäcken,Vantaa
Sinttioja,Firrbäcken,Vantaa
Slåttmossen,Slåttmossen,Vantaa
Slåttmossen,Slåttmossen,Vantaa
Slåttmossen,Slåttmossen,Vantaa
SPORTTILAITURI,SPORTKAJEN,Vantaa
Sporttilaituri,Sportkajen,Vantaa
Sumppukuja,Sumpgränden,Vantaa
Sumppukuja,Sumpgränden,Vantaa
Tarhakuja,Fållgränden,Vantaa
Tarhakuja,Gårdsgränden,Vantaa
Teletie,Televägen,Vantaa
Teletie,Televägen,Vantaa
Tietotie,Datavägen,Vantaa
Tietotie,Datavägen,Vantaa
Tietotie,Datavägen,Vantaa
Tietotie,Datavägen,Vantaa
Tikkurilan Asema,0,Vantaa
Tikkurilan asema,Dickursby station,Vantaa
Tikkurilan Keskuspuisto,Dickursby Centralpark,Vantaa
Tikkurilan keskuspuisto,0,Vantaa
Tikkurilantie,Dickursbyvägen,Vantaa
Tikkurilantie,Dickursbyvägen,Vantaa
Tikkurilantie,Dickursbyvägen,Vantaa
Tikkurilantie,Dickursbyvägen,Vantaa
TOLKINKYLÄNKUJA,TOLKBYGRÄNDEN,Vantaa
