OID_,Nimi,Namn,OLOTILA,TOIMENPIDE,PAIVITTAJA,PAIVITYSAJ,TYYPPI,NIMISTOLAJ,TALLENNUSA,LUOKKA,TALLENTAJA,GlobalID,x,y,Kunta
1,Sarvijaakonvalli,Hornbaggsvallen,1, ,tarja.itatalo@vantaa.fi,12/10/2024 0:00,rakennettu luonnonkohde,Viheralue,3/16/2016 0:00,433,ritva.myyrylainen,{A877E939-B09C-47D4-8BB4-04E2E624E100},395849.043,6690707.608,Vantaa
2,Jäppilä,Jäppilä,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{B280DBD8-4977-4078-92C5-00B5B5E0C535},380610.5089,6692377.357,Vantaa
3,Horslabergen,Horslabergen,1, ,tarja.itatalo@vantaa.fi,12/11/2020 0:00,luonnollinen luonnonkohde,Luontoon liityvät nimet,,433, ,{F7F90B5A-5B0B-4FD2-A44B-F094AB872B0A},384904.6597,6687484.321,Vantaa
4,Rihmarulla,Trådrullen,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,11/17/1999 0:00,433, ,{B1D12CD1-9ABB-4954-8275-43A1914ED488},395956.7267,6685572.871,Vantaa
5,Solbacken,Solbacken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{D91AD3D7-2A3D-4111-BF39-4BAFD5A9C107},396929.4937,6682857.63,Vantaa
6,Kiirunanpesä,Fjällripsboet,1, ,ritva.myyrylainen,2/27/2015 0:00,rakennettu luonnonkohde,Viheralue,2/27/2015 0:00,433,ritva.myyrylainen,{B159972E-35E6-4FC8-A1C3-0B341D60D55F},393113.0572,6691651.454,Vantaa
7,Hämeenkylänkenttä,Tavastbyplanen,1, ,ritva.myyrylainen,9/1/2015 0:00,rakennettu luonnonkohde,urheilualue (kentät),9/1/2015 0:00,433,ritva.myyrylainen,{4A22BA1F-F419-4665-85DE-3424AC3F234E},378386.546,6683529.454,Vantaa
8,Keimolantorni,Käinbytornet,1, ,sirpa.glad,4/30/2015 0:00,rakennuskohteet,erityiskohde (esim.nähtävyys),4/27/2011 0:00,433, ,{3E7610C9-E315-474B-B380-306D7694A6F9},380263.4573,6688955.427,Vantaa
9,Kyynelkoivunpuisto,Tårbjörksparken,1, , ,,rakennettu luonnonkohde,puisto,11/25/2015 0:00,433,ritva.myyrylainen,{E210E250-B4F3-4C46-A983-165BC90D7A5E},377492.2409,6685991.815,Vantaa
10,Oljemark,Oljemark,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{D195297E-36FC-4B3A-894D-3BEEDBE0B97C},395825.4281,6693259.109,Vantaa
11,Tähtönen,Lillstjärnan,1, , ,,rakennettu luonnonkohde,Viheralue,2/27/2015 0:00,433,ritva.myyrylainen,{40EF2D9B-C589-46A2-82D2-680B4ED55F91},393925.1569,6691560.321,Vantaa
12,Vantaanmetsät,Vandaskogen,1, ,tarja.itatalo@vantaa.fi,12/11/2020 0:00,luonnollinen luonnonkohde,Luontoon liityvät nimet,2/20/2004 0:00,433, ,{A6304433-F3FB-4C29-8763-9D5CD60B0EB4},382054.7215,6696890.833,Vantaa
13,Karhumäenkallio,Karhumäkiberget,1, ,ritva.myyrylainen@vantaa.fi,1/2/2020 0:00,rakennettu luonnonkohde,puisto,3/24/2017 0:00,433,ritva.myyrylainen,{8963E9C3-C165-4B4A-A368-42408C728ECE},387433.0094,6687173.212,Vantaa
14,Nygård,Nygård,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,rakennuskohteet,"Asutusnimi(talo, torppa,...)",,433, ,{F45E9311-3E36-46F4-AB07-D872BD55BAA7},379569.9911,6690289.957,Vantaa
15,Mielikinpuisto,Mielikkiparken,1, ,eija.nygard,12/3/2014 0:00,rakennettu luonnonkohde,puisto,,433, ,{C642B3DA-678E-4592-8AF5-FBD14C7A50E7},394860.4529,6688974.959,Vantaa
16,Kauriinpuisto,Stenbocksparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{E69DC76B-CBAA-49D9-9333-6BBF07FAA1FD},394838.3702,6691651.561,Vantaa
17,Karviaispuisto,Krusbärsparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,11/14/2003 0:00,433, ,{909AC958-2796-47A5-A42B-D3D0AA2A126F},384297.1859,6684166.992,Vantaa
18,Otavanpuisto,Karlavagnsparken,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,puisto,,433, ,{5EE7E983-C14C-471E-AF89-8F8EADAF7065},394051.5925,6691229.649,Vantaa
