index,Nimi,Namn,Kunta
0,AISAPARINKUJA,PARHÄSTGRÄDEN,Vantaa
1,AISAPARINKUJA,PARHÄSTGRÄDEN,Vantaa
2,Aisaparinkuja,Parhästgränden,Vantaa
3,Annefredinpuisto,Annefredsparken,Vantaa
4,Annefredinpuisto,Annefredsparken,Vantaa
5,Asematie,Stationsvägen,Vantaa
6,Asematie,Stationsvägen,Vantaa
7,ASEMATIE,STATIONSVÄGEN,Vantaa
8,ASEMATIE,STATIONVÄGEN,Vantaa
9,Avaintie,Nyckelvägen,Vantaa
10,Avaintie,Nyckelvägen,Vantaa
11,Aviabulevardi,Aviabulevarden,Vantaa
12,Aviabulevardi,Aviabulevarden,Vantaa
13,Aviakuja,Aviagränden,Vantaa
14,Aviakuja,Aviagränden,Vantaa
15,Äyriäisenkuja,Räkgränden,Vantaa
16,ÄYRIÄISENKUJA,RÄKGRÄNDEN,Vantaa
17,Backaksen kartano,Backas gård,Vantaa
18,Backaksen kartano,Backas herrgård,Vantaa
19,Beryllikuja,Beryllgränden,Vantaa
20,Beryllikuja,Beryllgränden,Vantaa
21,Esikkopolku,Gullvivsstigen,Vantaa
22,Esikkopolku,Gullvivsstigen,Vantaa
23,Esikkopuisto,Gullvivsparken,Vantaa
24,Esikkopuisto,Gullvivsparken,Vantaa
25,Fazerintie,Fazersvägen,Vantaa
26,Fazerintie,Fazersvägen,Vantaa
27,Fazerintie,Fazersvägen,Vantaa
28,Fazerintie,Fazersvägen,Vantaa
29,Hakunilantie,Håkansbölevägen,Vantaa
30,HAKUNILANTIE,HÅKANSBÖLEVÄGEN,Vantaa
31,Hakunilantie,Håkansbölevägen,Vantaa
32,Härkähaantie,Oxhagsvägen,Vantaa
33,Härkähaantie,Oxhagsvägen,Vantaa
34,Härkähaantie,Oxhagsvägen,Vantaa
35,Hukantie,Vargvägen,Vantaa
36,Hukantie,Vargvägen,Vantaa
37,Illenoja,Illebäcken,Vantaa
38,Illenoja,Illebäcken,Vantaa
39,Ilmailutie,Luftfartsvägen,Vantaa
40,Ilmailutie,Luftfartsvägen,Vantaa
41,Ilmakehä,Luftleden,Vantaa
42,Ilmakehä,Luftleden,Vantaa
43,Järventaka,Järventaka,Vantaa
44,Järventaka,Järventaka,Vantaa
45,Jokivarrentie,Jokivarsivägen,Vantaa
46,Jokivarrentie,0,Vantaa
47,Jönsaksentie,Jönsasvägen,Vantaa
48,Jönsaksentie,Jönsasvägen,Vantaa
49,Kalminoja,0,Vantaa
50,KALMINOJA,KALMIBÄCKEN,Vantaa
51,Karpinevä,Karpfenan,Vantaa
52,KARPINEVÄ,KARPFENAN,Vantaa
53,Karppipuisto,Karpparken,Vantaa
54,KARPPIPUISTO,KARPPARKEN,Vantaa
55,Karppitie,Karpvägen,Vantaa
56,Karppitie,Karpvägen,Vantaa
57,Karppitie,Karpvägen,Vantaa
58,Keiholehdenkuja,Pilörtsgränden,Vantaa
59,Keiholehdenkuja,Pilörtsgränden,Vantaa
60,Kiitoradankuja,Startbanegränden,Vantaa
61,Kiitoradankuja,Startbanegränden,Vantaa
62,Kiskanpuisto,Kiskaparken,Vantaa
63,Kiskanpuisto,Kiskaparken,Vantaa
64,Kiurunkierto,Sånglärksringen,Vantaa
65,Kiurunkierto,Sånglärksringen,Vantaa
66,Kivistön puistokatu,Kivistöallén,Vantaa
67,KIVISTÖN PUISTOKATU,KIVISTÖALLÉN,Vantaa
68,Kivistöntähti,Kivistös stjärna,Vantaa
69,KIVISTÖNTÄHTI,KIVISTÖS STJÄRNA,Vantaa
70,KIVISTÖNTÄHTI,KIVISTÖS STJÄRNA,Vantaa
71,Köyhämäentie,Fattigbackavägen,Vantaa
72,Köyhämäentie,Fattigbackavägen,Vantaa
73,Kuohukuja,Svallgränden,Vantaa
74,KUOHUKUJA,SVALLGRÄNDEN,Vantaa
75,Kuriirikuja,Kurirgränden,Vantaa
76,Kuriirikuja,Kurirgränden,Vantaa
77,Kuriirikuja,Kurirgränden,Vantaa
78,Kuusijärvenoja,Hanaböleträskbäcken,Vantaa
79,Kuusijärvenoja,Hanaböleträskbäcken,Vantaa
80,Kuussillanoja,Sexbrobäcken,Vantaa
81,Kuussillanoja,Sexbrodiken,Vantaa
82,Kuussillantie,Sexbrovägen,Vantaa
83,Kuussillantie,Sexbrovägen,Vantaa
84,Kvartsijuonenpuisto,Kvartsådersparken,Vantaa
85,KVARTSIJUONENPUISTO,KVARTSÅDERSPARKEN,Vantaa
86,Laajakorpi,Bredkärret,Vantaa
87,Laajakorpi,Bredkärret,Vantaa
88,Lahdentie,Lahtisvägen,Vantaa
89,Lahdentie,Lahtisvägen,Vantaa
90,Länsimäentie,Västerkullavägen,Vantaa
91,Länsimäentie,Västerkullavägen,Vantaa
92,Lehtorinne,Lehtorinne,Vantaa
93,Lehtorinne,Lundbrinken,Vantaa
94,Lentäjäntie,Pilotvägen,Vantaa
95,Lentäjäntie,Pilotvägen,Vantaa
96,Lentoasemantie,Flygstationsvägen,Vantaa
97,Lentoasemantie,Flygstationsvägen,Vantaa
98,Liesikuja,Eldstadsgränden,Vantaa
99,Liesikuja,Elstadsgränden,Vantaa
100,Liesipolku,Eldstadsstigen,Vantaa
101,Liesipolku,Elstadsstigen,Vantaa
102,Linnaistenmetsä,Linnaisskogen,Vantaa
103,Linnaistenmetsä,Linnaisskogen,Vantaa
104,LOKINPUISTO,LOKKIPARKEN,Vantaa
105,Lokinpuisto,Lokkiparken,Vantaa
106,Maakotkantie,Kungsörnsvägen,Vantaa
107,Maakotkantie,Kungsörnsvägen,Vantaa
108,Maalipolku,Målfärgsstigen,Vantaa
109,MAALIPOLKU,MALFARGSSTIGEN,Vantaa
110,Männistönpolku,Männistöstigen,Vantaa
111,MÄNNISTÖNPOLKU,MÄNNISTÖSTIGEN,Vantaa
112,Markkapolku,Markstigen,Vantaa
113,MARKKAPOLKU,MARKSTIGEN,Vantaa
114,Markkatie,Markvägen,Vantaa
